Date;Adj Close
30/12/2021;47178.125
31/12/2021;46306.44531
01/01/2022;47686.8125
02/01/2022;47345.21875
03/01/2022;46458.11719
04/01/2022;45897.57422
05/01/2022;43569.00391
06/01/2022;43160.92969
07/01/2022;41557.90234
08/01/2022;41733.94141
09/01/2022;41911.60156
10/01/2022;41821.26172
11/01/2022;42735.85547
12/01/2022;43949.10156
13/01/2022;42591.57031
14/01/2022;43099.69922
15/01/2022;43177.39844
16/01/2022;43113.87891
17/01/2022;42250.55078
18/01/2022;42375.63281
19/01/2022;41744.32813
20/01/2022;40680.41797
21/01/2022;36457.31641
22/01/2022;35030.25
23/01/2022;36276.80469
24/01/2022;36654.32813
25/01/2022;36954.00391
26/01/2022;36852.12109
27/01/2022;37138.23438
28/01/2022;37784.33203
29/01/2022;38138.17969
30/01/2022;37917.60156
